"","labeled_distinct_regions","name_with_luxury","room_type","minimum_nights","number_of_reviews","reviews_per_month","availability_per_day"
"1",3,2,"Entire home/apt",3,1,0.24,0
"2",3,1,"Private room",2,170,1.61,0.947945205479452
"3",2,1,"Entire home/apt",3,23,0.27,0.63013698630137
"4",3,1,"Entire home/apt",3,114,1.06,0
"5",2,1,"Entire home/apt",4,33,0.58,0.00273972602739726
"6",4,1,"Entire home/apt",7,38,0.38,1
"7",3,1,"Entire home/apt",3,222,2.1,0.635616438356164
"8",3,1,"Private room",1,189,1.82,0.693150684931507
"9",3,1,"Entire home/apt",14,31,0.31,0.213698630136986
"10",3,1,"Entire home/apt",3,18,0.21,0
"11",3,1,"Entire home/apt",8,17,0.17,0.93972602739726
"12",3,1,"Entire home/apt",30,30,0.33,0
"13",3,1,"Entire home/apt",10,18,0.9,0
"14",3,1,"Private room",4,1,0.02,1
"15",3,1,"Entire home/apt",7,39,0.41,0.120547945205479
"16",3,1,"Private room",28,43,0.45,0.706849315068493
"17",2,1,"Entire home/apt",30,7,0.08,0.66027397260274
"18",3,1,"Entire home/apt",2,7,0.08,0.989041095890411
"19",3,1,"Entire home/apt",7,11,0.12,0
"20",3,1,"Entire home/apt",3,5,0.08,0.073972602739726
"21",3,1,"Entire home/apt",3,49,0.53,1
"22",3,1,"Entire home/apt",5,8,0.11,0
"23",3,1,"Entire home/apt",7,14,0.16,0.561643835616438
"24",2,1,"Entire home/apt",2,320,3.6,0
"25",3,1,"Entire home/apt",1,23,0.63,0
"26",3,1,"Shared room",30,12,0.14,0
"27",3,1,"Entire home/apt",30,58,0.66,0.547945205479452
"28",2,1,"Entire home/apt",30,3,0.08,0
"29",3,1,"Entire home/apt",4,27,0.31,0.463013698630137
"30",3,1,"Private room",3,165,1.88,0.495890410958904
"31",3,1,"Entire home/apt",30,18,0.21,0.997260273972603
"32",3,1,"Private room",1,134,1.54,0.726027397260274
"33",3,1,"Entire home/apt",5,13,0.15,0
"34",2,1,"Private room",4,160,1.92,0.063013698630137
"35",3,1,"Entire home/apt",1,47,0.58,0.0465753424657534
"36",2,1,"Entire home/apt",14,0,0,0
"37",2,1,"Entire home/apt",1,215,2.55,0.953424657534247
"38",2,1,"Entire home/apt",30,6,0.07,0.994520547945206
"39",3,1,"Entire home/apt",30,0,0,0.964383561643836
"40",3,1,"Entire home/apt",30,44,0.53,0.997260273972603
"41",3,1,"Entire home/apt",5,8,0.12,0
"42",3,1,"Private room",3,9,0.11,0.901369863013699
"43",3,1,"Entire home/apt",30,4,0.06,0.947945205479452
"44",3,1,"Entire home/apt",30,8,0.1,0.947945205479452
"45",3,1,"Entire home/apt",2,20,0.25,0.0465753424657534
"46",3,1,"Entire home/apt",7,83,1.04,0.556164383561644
"47",2,1,"Entire home/apt",21,52,0.64,0
"48",3,1,"Entire home/apt",29,3,0.11,0.824657534246575
"49",3,1,"Entire home/apt",10,11,0.14,0
"50",3,1,"Entire home/apt",30,48,0.6,0.0986301369863014
"51",3,1,"Private room",1,190,3.7,0.487671232876712
"52",3,1,"Entire home/apt",30,47,0.67,0.758904109589041
"53",3,1,"Entire home/apt",45,16,0.21,0
"54",3,1,"Entire home/apt",3,3,0.07,0
"55",2,1,"Entire home/apt",8,7,0.14,0
"56",3,1,"Entire home/apt",1,187,2.36,0.605479452054794
"57",2,1,"Entire home/apt",3,166,2.15,0.413698630136986
"58",2,1,"Entire home/apt",30,30,0.39,0.183561643835616
"59",3,1,"Private room",3,3,0.04,0.238356164383562
"60",3,1,"Entire home/apt",30,8,0.11,0.947945205479452
"61",3,1,"Entire home/apt",30,13,0.2,0.947945205479452
"62",3,1,"Entire home/apt",30,4,0.08,0.947945205479452
"63",2,1,"Private room",5,8,0.11,1
"64",3,1,"Entire home/apt",6,127,1.68,0.83013698630137
"65",3,1,"Entire home/apt",30,17,0.39,0.895890410958904
"66",3,1,"Entire home/apt",30,24,0.33,0.997260273972603
"67",3,1,"Entire home/apt",60,7,0.1,0.515068493150685
"68",3,1,"Entire home/apt",2,52,0.71,0.528767123287671
"69",3,1,"Entire home/apt",14,4,0.06,0.0136986301369863
"70",3,1,"Entire home/apt",5,18,0.29,0.49041095890411
"71",4,1,"Entire home/apt",3,2,0.05,0
"72",3,1,"Entire home/apt",1,2,0.03,0.997260273972603
"73",3,1,"Entire home/apt",30,18,0.29,0.36986301369863
"74",3,1,"Entire home/apt",2,31,0.44,0.00821917808219178
"75",3,1,"Entire home/apt",365,0,0,1
"76",3,1,"Entire home/apt",5,52,0.74,0
"77",3,1,"Entire home/apt",30,18,0.27,0.931506849315068
"78",2,1,"Private room",1,40,0.83,0.802739726027397
"79",2,1,"Entire home/apt",30,183,2.63,0
"80",3,1,"Entire home/apt",3,111,1.63,0.523287671232877
"81",3,1,"Entire home/apt",2,2,0.03,0
"82",3,1,"Entire home/apt",5,0,0,0
"83",3,1,"Entire home/apt",5,6,0.1,0
"84",3,1,"Entire home/apt",2,2,0.05,0
"85",2,1,"Entire home/apt",2,20,0.31,0.972602739726027
"86",3,1,"Private room",4,10,0.2,0
"87",3,1,"Private room",4,57,2.67,0.202739726027397
"88",2,1,"Private room",31,0,0,0
"89",3,1,"Entire home/apt",3,9,0.87,0
"90",2,1,"Entire home/apt",1,0,0,0
"91",3,1,"Entire home/apt",1,0,0,0
"92",3,1,"Entire home/apt",1,0,0,0
"93",3,1,"Entire home/apt",5,7,0.32,0.86027397260274
"94",3,1,"Entire home/apt",2,4,0.12,0
"95",3,1,"Entire home/apt",3,0,0,0
"96",3,1,"Entire home/apt",1,114,1.71,0.43013698630137
"97",2,1,"Entire home/apt",2,0,0,0
"98",3,1,"Entire home/apt",7,29,0.46,0.00821917808219178
"99",3,1,"Entire home/apt",1,0,0,0
"100",3,1,"Entire home/apt",2,3,0.05,0
"101",3,1,"Entire home/apt",1,21,0.38,0
"102",2,1,"Entire home/apt",1,0,0,0
"103",3,1,"Entire home/apt",3,11,0.18,0.117808219178082
"104",3,1,"Entire home/apt",1,0,0,0
"105",3,1,"Entire home/apt",2,0,0,0
"106",3,1,"Entire home/apt",2,0,0,0
"107",4,1,"Entire home/apt",3,33,0.77,0.717808219178082
"108",3,1,"Entire home/apt",1,0,0,0
"109",3,1,"Entire home/apt",1,0,0,0
"110",3,1,"Private room",7,0,0,0.43013698630137
"111",3,1,"Entire home/apt",5,8,0.13,0.0958904109589041
"112",3,1,"Entire home/apt",10,1,0.02,0
"113",3,1,"Private room",3,3,0.05,0.487671232876712
"114",3,1,"Entire home/apt",1,94,1.48,0.589041095890411
"115",3,1,"Private room",5,20,0.33,0
"116",4,1,"Entire home/apt",7,50,0.8,0.873972602739726
"117",2,1,"Entire home/apt",2,3,0.05,0
"118",2,1,"Private room",3,5,0.11,0.76986301369863
"119",3,1,"Entire home/apt",30,2,0.03,1
"120",3,1,"Entire home/apt",3,8,0.13,0
"121",2,1,"Entire home/apt",3,16,0.25,0.164383561643836
"122",3,1,"Entire home/apt",3,32,0.53,0.380821917808219
"123",3,1,"Entire home/apt",1,1,0.02,0
"124",3,1,"Entire home/apt",1,3,0.05,0
"125",3,1,"Entire home/apt",1,0,0,0
"126",3,1,"Entire home/apt",2,32,0.51,0
